file=1_P_hgr1_id01_1.bmp; label=LIKE; defect_count=7; mean_defect_depth=13.940290178571429; max_defect_depth=57.4140625; min_defect_depth=3.66015625; std_defect_depth=17.993045094711825; area_contour=21807.5; area_hull=25411.0; solidity=0.8581913344614537; perimeter=744.9777027368546; aspect_ratio=1.1213872832369942; extent=0.6497675943030808; circularity=0.49377511207463687
file=1_P_hgr1_id05_3.bmp; label=LIKE; defect_count=5; mean_defect_depth=14.49375; max_defect_depth=43.39453125; min_defect_depth=3.23046875; std_defect_depth=15.567387849383243; area_contour=13681.0; area_hull=17872.0; solidity=0.7654991047448523; perimeter=605.1614673137665; aspect_ratio=1.3169014084507042; extent=0.5152142803344129; circularity=0.4694454914604881
file=1_P_hgr1_id06_1.bmp; label=LIKE; defect_count=7; mean_defect_depth=8.88671875; max_defect_depth=38.0234375; min_defect_depth=1.14453125; std_defect_depth=12.34844473052517; area_contour=12541.5; area_hull=14970.0; solidity=0.8377755511022044; perimeter=539.4041078090668; aspect_ratio=1.0413793103448277; extent=0.5728020095912308; circularity=0.5416650913558436
file=1_P_hgr1_id06_2.bmp; label=LIKE; defect_count=6; mean_defect_depth=9.14453125; max_defect_depth=37.74609375; min_defect_depth=1.4375; std_defect_depth=13.04908718458542; area_contour=12095.5; area_hull=13946.5; solidity=0.8672785286631054; perimeter=518.9188277721405; aspect_ratio=1.1278195488721805; extent=0.6062907268170427; circularity=0.5644621597282707
file=1_P_hgr1_id06_3.bmp; label=LIKE; defect_count=8; mean_defect_depth=7.92138671875; max_defect_depth=39.0390625; min_defect_depth=1.17578125; std_defect_depth=12.1347619214337; area_contour=13183.5; area_hull=15561.5; solidity=0.8471869678372907; perimeter=559.5462447404861; aspect_ratio=1.2781954887218046; extent=0.5830827067669173; circularity=0.5291375921221925
file=1_P_hgr1_id07_1.bmp; label=LIKE; defect_count=5; mean_defect_depth=9.51640625; max_defect_depth=31.45703125; min_defect_depth=1.41796875; std_defect_depth=11.190064519264958; area_contour=8298.0; area_hull=9574.5; solidity=0.8666771110762964; perimeter=439.36247861385345; aspect_ratio=0.8943089430894309; extent=0.6133037694013304; circularity=0.5401785855569466
file=1_P_hgr1_id07_2.bmp; label=LIKE; defect_count=7; mean_defect_depth=7.012834821428571; max_defect_depth=27.4453125; min_defect_depth=0.9375; std_defect_depth=8.97138587309766; area_contour=8115.0; area_hull=9668.0; solidity=0.8393669838642945; perimeter=437.9066344499588; aspect_ratio=0.8076923076923077; extent=0.5945054945054945; circularity=0.5317840879821761
file=1_P_hgr1_id07_3.bmp; label=LIKE; defect_count=6; mean_defect_depth=9.719401041666666; max_defect_depth=38.7734375; min_defect_depth=1.1328125; std_defect_depth=13.169458165796705; area_contour=10772.5; area_hull=12552.5; solidity=0.858195578570006; perimeter=508.0903990268707; aspect_ratio=0.8; extent=0.5984722222222222; circularity=0.5243779118861294
file=1_P_hgr1_id08_1.bmp; label=LIKE; defect_count=9; mean_defect_depth=6.03125; max_defect_depth=29.390625; min_defect_depth=1.09765625; std_defect_depth=8.604283711497084; area_contour=11365.0; area_hull=13297.0; solidity=0.8547040685868993; perimeter=523.9898948669434; aspect_ratio=0.5502645502645502; extent=0.5781949531949532; circularity=0.520155842181342
file=1_P_hgr1_id08_2.bmp; label=LIKE; defect_count=8; mean_defect_depth=5.7822265625; max_defect_depth=26.71875; min_defect_depth=1.2734375; std_defect_depth=8.07476364829145; area_contour=8465.5; area_hull=9812.5; solidity=0.8627261146496815; perimeter=459.32084834575653; aspect_ratio=0.4970414201183432; extent=0.5963299520991828; circularity=0.5042317187236632
file=1_P_hgr1_id08_3.bmp; label=LIKE; defect_count=7; mean_defect_depth=7.880580357142857; max_defect_depth=29.33203125; min_defect_depth=2.00390625; std_defect_depth=9.191337558260667; area_contour=12558.5; area_hull=14685.5; solidity=0.8551632562731947; perimeter=550.0904003381729; aspect_ratio=0.5978835978835979; extent=0.5880273446645128; circularity=0.5215302477240705
file=1_P_hgr1_id09_1.bmp; label=LIKE; defect_count=6; mean_defect_depth=9.979817708333334; max_defect_depth=39.10546875; min_defect_depth=2.38671875; std_defect_depth=13.238086342686078; area_contour=11662.5; area_hull=13935.5; solidity=0.8368913924868142; perimeter=527.0609631538391; aspect_ratio=0.7289156626506024; extent=0.5806282983172358; circularity=0.5275696677467898
file=1_P_hgr1_id09_2.bmp; label=LIKE; defect_count=5; mean_defect_depth=12.1625; max_defect_depth=45.27734375; min_defect_depth=2.84375; std_defect_depth=16.604542489898; area_contour=15407.5; area_hull=17890.5; solidity=0.8612112573712305; perimeter=592.8599531650543; aspect_ratio=0.8135593220338984; extent=0.6045001569365976; circularity=0.5508556518208065
file=1_P_hgr1_id09_3.bmp; label=LIKE; defect_count=6; mean_defect_depth=10.900390625; max_defect_depth=45.0078125; min_defect_depth=1.28125; std_defect_depth=15.435088346372861; area_contour=15001.5; area_hull=17664.0; solidity=0.8492697010869565; perimeter=598.7178167104721; aspect_ratio=0.7666666666666667; extent=0.6039251207729469; circularity=0.5258963857505881
file=1_P_hgr1_id10_1.bmp; label=LIKE; defect_count=6; mean_defect_depth=10.614583333333334; max_defect_depth=42.16015625; min_defect_depth=1.16796875; std_defect_depth=14.245997649475548; area_contour=12681.5; area_hull=15101.0; solidity=0.8397788225945302; perimeter=549.4041081666946; aspect_ratio=0.8220858895705522; extent=0.5806015932606904; circularity=0.527954729848439
file=1_P_hgr1_id10_2.bmp; label=LIKE; defect_count=6; mean_defect_depth=10.927734375; max_defect_depth=43.7265625; min_defect_depth=1.3203125; std_defect_depth=14.845299869402563; area_contour=15168.5; area_hull=17967.0; solidity=0.8442422218511716; perimeter=597.889389872551; aspect_ratio=0.8192090395480226; extent=0.5910188973309956; circularity=0.5332253732379765
file=1_P_hgr1_id10_3.bmp; label=LIKE; defect_count=5; mean_defect_depth=11.4078125; max_defect_depth=34.28125; min_defect_depth=1.33203125; std_defect_depth=12.02629478922839; area_contour=11875.5; area_hull=14326.5; solidity=0.8289184378599099; perimeter=527.2619737386703; aspect_ratio=0.958904109589041; extent=0.5809931506849315; circularity=0.536795499371897
file=1_P_hgr1_id11_1.bmp; label=LIKE; defect_count=7; mean_defect_depth=11.202008928571429; max_defect_depth=49.9296875; min_defect_depth=2.1015625; std_defect_depth=16.14910981702873; area_contour=15791.5; area_hull=19386.0; solidity=0.8145826885381203; perimeter=631.203098654747; aspect_ratio=0.7222222222222222; extent=0.5577276259094441; circularity=0.4980752988903384
file=1_P_hgr1_id11_2.bmp; label=LIKE; defect_count=5; mean_defect_depth=15.9765625; max_defect_depth=55.28515625; min_defect_depth=2.83984375; std_defect_depth=20.097081882584657; area_contour=19516.0; area_hull=23684.5; solidity=0.823998817792227; perimeter=689.0437182188034; aspect_ratio=0.8883248730964467; extent=0.5660913705583757; circularity=0.5165437581495719
file=1_P_hgr1_id11_3.bmp; label=LIKE; defect_count=6; mean_defect_depth=13.134114583333334; max_defect_depth=51.3046875; min_defect_depth=1.88671875; std_defect_depth=17.441083083434467; area_contour=15622.5; area_hull=19255.5; solidity=0.8113266339487419; perimeter=631.6883792877197; aspect_ratio=0.9364161849710982; extent=0.5574288160993364; circularity=0.49198812703292016
file=1_P_hgr1_id12_1.bmp; label=LIKE; defect_count=8; mean_defect_depth=9.111328125; max_defect_depth=42.08984375; min_defect_depth=1.875; std_defect_depth=12.940845738738945; area_contour=19889.0; area_hull=22941.0; solidity=0.8669630792031734; perimeter=673.528999209404; aspect_ratio=0.8029556650246306; extent=0.6010758862461846; circularity=0.5509474955434451
file=1_P_hgr1_id12_2.bmp; label=LIKE; defect_count=5; mean_defect_depth=14.28359375; max_defect_depth=48.4765625; min_defect_depth=1.765625; std_defect_depth=17.34367215635684; area_contour=24876.5; area_hull=28238.5; solidity=0.8809426846326823; perimeter=742.2569206953049; aspect_ratio=0.8440366972477065; extent=0.6201760071798963; circularity=0.5674016966476221
file=1_P_hgr1_id12_3.bmp; label=LIKE; defect_count=7; mean_defect_depth=8.087053571428571; max_defect_depth=33.78515625; min_defect_depth=1.265625; std_defect_depth=10.929929162748975; area_contour=14225.5; area_hull=16325.0; solidity=0.8713935681470137; perimeter=566.3746709823608; aspect_ratio=0.7333333333333333; extent=0.59871632996633; circularity=0.5572752536429868
file=L_P_hgr1_id01_1.bmp; label=L; defect_count=4; mean_defect_depth=19.890625; max_defect_depth=47.30859375; min_defect_depth=2.20703125; std_defect_depth=17.686154587329437; area_contour=9904.5; area_hull=14208.0; solidity=0.6971072635135135; perimeter=548.9188270568848; aspect_ratio=0.9294871794871795; extent=0.43786472148541117; circularity=0.4130723896048993
file=L_P_hgr1_id01_2.bmp; label=L; defect_count=5; mean_defect_depth=19.859375; max_defect_depth=56.1953125; min_defect_depth=1.84765625; std_defect_depth=20.79537745242129; area_contour=17422.0; area_hull=24780.0; solidity=0.7030669895076674; perimeter=797.3624787330627; aspect_ratio=0.59765625; extent=0.4448018790849673; circularity=0.3443469833973341
file=L_P_hgr1_id01_3.bmp; label=L; defect_count=5; mean_defect_depth=21.45859375; max_defect_depth=60.71484375; min_defect_depth=1.7265625; std_defect_depth=22.665984519716915; area_contour=18922.0; area_hull=27394.0; solidity=0.6907351974885011; perimeter=809.5046141147614; aspect_ratio=0.7682403433476395; extent=0.4536888292133215; circularity=0.36285928885241886
file=L_P_hgr1_id02_4.bmp; label=L; defect_count=6; mean_defect_depth=21.313802083333332; max_defect_depth=66.515625; min_defect_depth=2.69921875; std_defect_depth=23.545704723162853; area_contour=16654.0; area_hull=23904.0; solidity=0.6967034805890228; perimeter=775.6467489004135; aspect_ratio=0.9137055837563451; extent=0.4696559503666103; circularity=0.3478567790635667
file=L_P_hgr1_id02_8.bmp; label=L; defect_count=5; mean_defect_depth=23.79140625; max_defect_depth=65.125; min_defect_depth=2.67578125; std_defect_depth=25.062740924847297; area_contour=17519.5; area_hull=26462.5; solidity=0.6620500708549835; perimeter=816.776692032814; aspect_ratio=0.7520661157024794; extent=0.39777268186359094; circularity=0.3300083277517111
file=L_P_hgr1_id03_6.bmp; label=L; defect_count=5; mean_defect_depth=23.16953125; max_defect_depth=50.84765625; min_defect_depth=5.078125; std_defect_depth=19.993189850067935; area_contour=16802.0; area_hull=24599.0; solidity=0.6830358957681206; perimeter=776.4751753807068; aspect_ratio=0.8237885462555066; extent=0.39581615585761737; circularity=0.35019963847063157
file=L_P_hgr1_id03_9.bmp; label=L; defect_count=6; mean_defect_depth=17.975260416666668; max_defect_depth=61.40234375; min_defect_depth=1.71875; std_defect_depth=22.481330604798757; area_contour=14961.0; area_hull=22463.5; solidity=0.6660137556480513; perimeter=723.9310200214386; aspect_ratio=0.8254716981132075; extent=0.4032614555256065; circularity=0.35873695243716885
file=L_P_hgr1_id04_5.bmp; label=L; defect_count=5; mean_defect_depth=23.47578125; max_defect_depth=58.16015625; min_defect_depth=1.8984375; std_defect_depth=21.918354971757548; area_contour=16979.0; area_hull=25588.0; solidity=0.6635532280756604; perimeter=766.9604567289352; aspect_ratio=0.84375; extent=0.4010534769463341; circularity=0.36272377809668627
file=L_P_hgr1_id04_7.bmp; label=L; defect_count=4; mean_defect_depth=28.92578125; max_defect_depth=71.52734375; min_defect_depth=5.27734375; std_defect_depth=26.157142687733035; area_contour=19356.0; area_hull=28178.5; solidity=0.6869066841741044; perimeter=814.6416983604431; aspect_ratio=0.8540772532188842; extent=0.4174520672029676; circularity=0.366515381308144
file=L_P_hgr1_id05_1.bmp; label=L; defect_count=3; mean_defect_depth=28.131510416666668; max_defect_depth=46.60546875; min_defect_depth=15.65234375; std_defect_depth=13.328594128450767; area_contour=10791.5; area_hull=16786.5; solidity=0.6428677806570756; perimeter=633.7472536563873; aspect_ratio=0.6028708133971292; extent=0.4097934229513177; circularity=0.3376443590297603
file=L_P_hgr1_id05_2.bmp; label=L; defect_count=4; mean_defect_depth=15.2451171875; max_defect_depth=34.140625; min_defect_depth=0.9921875; std_defect_depth=12.07288079946268; area_contour=5862.5; area_hull=9040.0; solidity=0.6485066371681416; perimeter=489.86500430107117; aspect_ratio=0.4581005586592179; extent=0.39940727619566696; circularity=0.30700107071875865
file=L_P_hgr1_id05_3.bmp; label=L; defect_count=3; mean_defect_depth=20.177083333333332; max_defect_depth=32.4921875; min_defect_depth=12.6953125; std_defect_depth=8.774960523168165; area_contour=7719.5; area_hull=11743.5; solidity=0.6573423596031848; perimeter=575.0365775823593; aspect_ratio=0.38461538461538464; extent=0.4109395794516902; circularity=0.2933648617044935
file=L_P_hgr1_id06_1.bmp; label=L; defect_count=5; mean_defect_depth=22.33671875; max_defect_depth=57.97265625; min_defect_depth=1.8203125; std_defect_depth=21.307936501664923; area_contour=15483.0; area_hull=24433.0; solidity=0.6336921376826423; perimeter=757.5878736972809; aspect_ratio=0.8243243243243243; extent=0.3811106188155369; circularity=0.33899941499331016
file=L_P_hgr1_id06_2.bmp; label=L; defect_count=4; mean_defect_depth=18.1064453125; max_defect_depth=32.90625; min_defect_depth=2.4609375; std_defect_depth=13.46128305444406; area_contour=7109.0; area_hull=11080.0; solidity=0.6416064981949459; perimeter=540.4507913589478; aspect_ratio=0.5053191489361702; extent=0.39804031354983205; circularity=0.3058482951819943
file=L_P_hgr1_id06_3.bmp; label=L; defect_count=7; mean_defect_depth=14.023995535714286; max_defect_depth=47.7578125; min_defect_depth=1.28515625; std_defect_depth=17.87832881069863; area_contour=9995.5; area_hull=14675.5; solidity=0.6811011549862015; perimeter=605.1198379993439; aspect_ratio=0.751412429378531; extent=0.4245996346799201; circularity=0.34302960697092416
file=L_P_hgr1_id07_1.bmp; label=L; defect_count=6; mean_defect_depth=14.033854166666666; max_defect_depth=38.3203125; min_defect_depth=1.09765625; std_defect_depth=14.376451796781813; area_contour=6348.0; area_hull=9893.0; solidity=0.6416658243202265; perimeter=467.6223636865616; aspect_ratio=0.8333333333333334; extent=0.4; circularity=0.364801181743855
file=L_P_hgr1_id07_2.bmp; label=L; defect_count=5; mean_defect_depth=19.40625; max_defect_depth=39.21484375; min_defect_depth=3.265625; std_defect_depth=14.383199724893341; area_contour=9978.5; area_hull=15008.0; solidity=0.6648787313432836; perimeter=587.8061290979385; aspect_ratio=0.6825396825396826; extent=0.4092736146999713; circularity=0.362916660001606
file=L_P_hgr1_id07_3.bmp; label=L; defect_count=4; mean_defect_depth=23.6298828125; max_defect_depth=42.09765625; min_defect_depth=1.76953125; std_defect_depth=15.326476993296993; area_contour=9722.0; area_hull=14933.0; solidity=0.65104131788656; perimeter=578.7350615262985; aspect_ratio=0.7840909090909091; extent=0.4002799736495389; circularity=0.36475889608908135
file=L_P_hgr1_id08_1.bmp; label=L; defect_count=5; mean_defect_depth=19.47421875; max_defect_depth=41.15625; min_defect_depth=2.40234375; std_defect_depth=16.462184523540895; area_contour=12167.5; area_hull=18345.5; solidity=0.6632416668937887; perimeter=653.7472543716431; aspect_ratio=0.6521739130434783; extent=0.4354088387904813; circularity=0.3577597374112653
file=L_P_hgr1_id08_2.bmp; label=L; defect_count=6; mean_defect_depth=18.56640625; max_defect_depth=43.29296875; min_defect_depth=1.82421875; std_defect_depth=17.956149482556356; area_contour=12664.0; area_hull=19072.5; solidity=0.6639926595884126; perimeter=705.7888848781586; aspect_ratio=0.6214953271028038; extent=0.44494413604103716; circularity=0.3194707760262722
file=L_P_hgr1_id08_3.bmp; label=L; defect_count=4; mean_defect_depth=22.9716796875; max_defect_depth=41.328125; min_defect_depth=2.80859375; std_defect_depth=16.322532024448535; area_contour=12628.0; area_hull=19083.5; solidity=0.6617234783975686; perimeter=677.7056243419647; aspect_ratio=0.5866666666666667; extent=0.42518518518518517; circularity=0.3455113014493025
file=L_P_hgr1_id09_1.bmp; label=L; defect_count=5; mean_defect_depth=21.4203125; max_defect_depth=49.375; min_defect_depth=1.4140625; std_defect_depth=20.5972857122228; area_contour=11515.0; area_hull=17324.0; solidity=0.6646848302932348; perimeter=651.0193325281143; aspect_ratio=0.7473118279569892; extent=0.4453856269822851; circularity=0.34141770238455876
file=L_P_hgr1_id09_2.bmp; label=L; defect_count=4; mean_defect_depth=25.6845703125; max_defect_depth=51.1953125; min_defect_depth=3.41796875; std_defect_depth=20.22525987965054; area_contour=12324.5; area_hull=18312.0; solidity=0.6730286151157711; perimeter=667.8893897533417; aspect_ratio=0.8342541436464088; extent=0.45093483590062566; circularity=0.3471922999021657
file=L_P_hgr1_id09_3.bmp; label=L; defect_count=4; mean_defect_depth=22.8896484375; max_defect_depth=48.9453125; min_defect_depth=1.2109375; std_defect_depth=19.058777967947755; area_contour=9837.5; area_hull=14258.0; solidity=0.6899635292467386; perimeter=594.5756812095642; aspect_ratio=0.7916666666666666; extent=0.4402747941281776; circularity=0.34968767468288803
file=L_P_hgr1_id10_1.bmp; label=L; defect_count=6; mean_defect_depth=19.458333333333332; max_defect_depth=58.12890625; min_defect_depth=1.51953125; std_defect_depth=23.888629815325693; area_contour=14043.5; area_hull=21177.0; solidity=0.6631486990603013; perimeter=709.4041081666946; aspect_ratio=0.8743718592964824; extent=0.40557673424594237; circularity=0.3506693629005054
file=L_P_hgr1_id10_2.bmp; label=L; defect_count=6; mean_defect_depth=17.333333333333332; max_defect_depth=48.07421875; min_defect_depth=1.41015625; std_defect_depth=20.781571072015844; area_contour=11703.5; area_hull=16828.5; solidity=0.6954571114478415; perimeter=636.0903997421265; aspect_ratio=0.8131868131868132; extent=0.434492871992872; circularity=0.3634862119541401
file=L_P_hgr1_id10_3.bmp; label=L; defect_count=6; mean_defect_depth=15.167317708333334; max_defect_depth=43.9375; min_defect_depth=1.66796875; std_defect_depth=18.27877050613514; area_contour=8508.0; area_hull=12920.5; solidity=0.6584884485894509; perimeter=549.9066342115402; aspect_ratio=0.8012422360248447; extent=0.40964899609995664; circularity=0.3535569892387557
file=L_P_hgr1_id11_1.bmp; label=L; defect_count=3; mean_defect_depth=28.921875; max_defect_depth=50.390625; min_defect_depth=10.35546875; std_defect_depth=16.472626453662485; area_contour=9160.5; area_hull=14843.5; solidity=0.6171388149695153; perimeter=585.4041080474854; aspect_ratio=0.7865168539325843; extent=0.3675963081861958; circularity=0.3359058068166256
file=L_P_hgr1_id11_2.bmp; label=L; defect_count=4; mean_defect_depth=22.5; max_defect_depth=47.17578125; min_defect_depth=1.7734375; std_defect_depth=17.665224532280334; area_contour=10045.0; area_hull=16161.5; solidity=0.6215388423104291; perimeter=595.5046130418777; aspect_ratio=0.8435754189944135; extent=0.3716378704354582; circularity=0.35595044889455574
file=L_P_hgr1_id11_3.bmp; label=L; defect_count=5; mean_defect_depth=18.940625; max_defect_depth=42.08203125; min_defect_depth=1.37109375; std_defect_depth=16.770614537424997; area_contour=10436.5; area_hull=16761.0; solidity=0.6226657120696856; perimeter=614.918827176094; aspect_ratio=0.7631578947368421; extent=0.37882032667876586; circularity=0.34683998685509543
file=L_P_hgr1_id12_1.bmp; label=L; defect_count=6; mean_defect_depth=13.909505208333334; max_defect_depth=36.96875; min_defect_depth=2.390625; std_defect_depth=14.858370749126399; area_contour=9569.0; area_hull=13412.0; solidity=0.7134655532359081; perimeter=620.5929262638092; aspect_ratio=0.46190476190476193; extent=0.4697594501718213; circularity=0.31222147891043195
file=L_P_hgr1_id12_2.bmp; label=L; defect_count=5; mean_defect_depth=13.2015625; max_defect_depth=30.45703125; min_defect_depth=1.26171875; std_defect_depth=12.995954523788354; area_contour=6289.5; area_hull=9169.0; solidity=0.6859526665939579; perimeter=498.8944422006607; aspect_ratio=0.47701149425287354; extent=0.4355006231823847; circularity=0.3175474677347145
file=L_P_hgr1_id12_3.bmp; label=L; defect_count=6; mean_defect_depth=12.545572916666666; max_defect_depth=31.84375; min_defect_depth=2.09765625; std_defect_depth=13.21626789506441; area_contour=7791.0; area_hull=10857.0; solidity=0.7176015473887815; perimeter=552.4507912397385; aspect_ratio=0.47643979057591623; extent=0.4482480869915425; circularity=0.3207863414923345
